Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken,ekologi,Kriteriedokumentation
Ramaria pallida,blek fingersvamp,,NT,x,,,"Bildar mykorrhiza med dels gran i ängsgranskog men även under bok, ek och avenbok i ädellövskog. Arten är förhållandevis lätt att känna igen. Total population i landet bedöms ha minskat, huvudsakligen p.g.a. slutavverkningar av äldre barrskog på mark med hög bonitet där större delen av den svenska populationen finns. Minskningstakten är inte lika stor i ädellövskog. Antalet reproduktiva individer skattas till 15000 (4000-30000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (750). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 750 (200-1500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 3000 (1000-6000) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (A2c+3c+4c, C2a(i))."
Scleroderma bovista,potatisrottryffel,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Tricholoma pessundatum,droppmusseron,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Paxillus involutus,,,,x,,,
Cortinarius callisteus,lokspindling,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Rubroboletus satanas,djävulssopp,,EN,x,,,"Bildar mykorrhiza med ek i kalkrika halvöppna gräsmarker och brynrika ek-/hasselskogar och lövängar. En tydligt värmekrävande art. En välkänd, iögonfallande och noga eftersökt art. Förekommer på Ã–land och Gotland samt ett fynd i Uppland (Uppsala, där den förmodligen kommit in med planterad parklind) och ett obekräftat fynd i Drottningholmsparken (som behöver bekräftas med DNA). Populationen i Sverige är mycket liten och bedöms minskande som följd av igenväxning från öppna och halvöppna till slutna skogsmiljöer. Artens fortlevnadsmöjligheter blir förhoppningsvis bättre genom Naturvårdsverkets åtgärdsprogram för svampar i kalkrika ädellövbärande fodermarker som sedan 2009 har resulterat i ökad kännedom och uppmärksamhet kring arten, dess ekologi och förekomster. Antalet reproduktiva individer skattas till 600 (400-1200). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (30). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 30 (20-60). Utbredningsområdets storlek (EOO) skattas till 5000 (4752-5000) kmÂ² och förekomstarean (AOO) till 100 (80-100) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten har uppgått till 30 % under de senaste 50 åren. Under de kommande 50 åren förväntas minskningstakten uppgå till 15 %. Under en tidsperiod om 50 år, som sträcker sig både bakåt och framåt i tiden, så bedöms minskningstakten uppgå till 30 %. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Cortinarius orellanus,orangebrun giftspindling,S,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Inosperma erubescens,gifttråding,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Ramaria formosa,lömsk fingersvamp,,NT,x,,,"Bildar mykorrhiza med bok, ek i ädellövskog, helst bok- eller ekdominerad skog med lång trädkontinuitet. En vacker och  iögonfallande art med liten total population i landet. Bedöms bl.a. missgynnas av inväxning av gran i ädellövsbestånd. Antalet reproduktiva individer skattas till 1000 (400-3000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (20-100). Utbredningsområdets storlek (EOO) skattas till 30000 (26924-30000) kmÂ² och förekomstarean (AOO) till 200 (96-400) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Antalet individer bedöms överstiga gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Rubroboletus legaliae,falsk djävulssopp,,VU,x,,,"Bildar mykorrhiza med ek på kalkrik mark i solvarma lägen i glesa ädellövskogar, parker och andra brynmiljöer. Uppträder ibland under solitära kvarstående ekar längs vägkanter ochparkliknande ytor i tätortsbebyggelse. Endast fem aktuella lokalområden i landet (Ã–land, Ã–stergötland, Sörmland och Uppland). Växer i en väl undersökt miljö. Uppenbarligen en mycket sällsynt art med liten population i landet. Har tidigare har sammanblandats med B. rhodoxanthus och B. rhodopurpureus. Antalet reproduktiva individer skattas till 400 (100-800). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (20). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 20 (5-40). Utbredningsområdets storlek (EOO) skattas till 25000 kmÂ² och förekomstarean (AOO) till 100 (100-200) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Scleroderma cepa,rödbrun rottryffel,,VU,x,,,"Bildar mykorrhiza med ek i varma lägen i gles ädellövskog, löväng, hagmark och parkmiljö. Arten är lätt att känna igen och växer i välbesökta miljöer men är sällan funnen. Total population i landet bedöms liten och missgynnas huvudsakligen av igenväxning, beskuggning och andra förändringar i luckiga ädellövskogar. Antalet reproduktiva individer skattas till 1500 (300-3000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (75). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 75 (15-150). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 56 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (C2a(i))."
Cortinarius splendens,svavelspindling,,VU,x,,,"Bildar mykorrhiza med bok, möjligen även med lind. Påträffas i ängsbokskog på kalkrik mark. Hittills endast känd från ett fåtal landskap i södra Sverige. Populationen bedöms som mycket liten och därmed känslig för alla typer av förändringar på dess fåtaliga växtplatser. Svårt att bedöma ev. minskning. Antalet reproduktiva individer skattas till 400 (80-800). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (20). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 20 (4-40). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 80 kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Tricholoma sulphurescens,,,VU,x,,,"Bildar mykorrhiza med bok, möjligen även med ek, i ängsbokskog, ekskog och annan ädellövskog på kalkrik mark. Mycket ovanlig i norra och mellersta Europa, enbart ett fåtal kända växtplatser i landet. Vanligare och mer utbredd i södra Europa. Status och hotbild är fortfarande något oklar, men den totala populationen i landet bedöms vara mycket liten. Antalet reproduktiva individer skattas till 600 (100-1200). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (30). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 30 (5-60). Utbredningsområdets storlek (EOO) skattas till 25000 (800-25000) kmÂ² och förekomstarean (AOO) till 120 (20-120) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Tricholoma bryogenum,,,NE,x,,,"Bildar mykorrhiza med gran, möjligen även med tall, företrädesvis på fuktig och kalkrik mark i ängsgranskog, men ett fåtal fynd är från torrare sandtallskog. En nyligen beskriven art som brutits ut från den närstående svavelmusseronen (T. sulphureum). Utbredningen förefaller nordlig. Ã„n så länge finns mycket få bekräftade fynd i landet. Mörkertalet bedöms vara stort."
Hydnellum ferrugineum,dropptaggsvamp,S,LC,,,,"Bildar mykorrhiza med tall, huvudsakligen i äldre skog. Total population i landet bedöms ha minskat och fortsatt minska p.g.a slutavverkningar och förhöja kvävenivåer i marken som en följd av skogsgödsling, omfattningen är dock svår att bedöma. Antalet reproduktiva individer överstiger gränsvärdet för rödlistning. Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (5000). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 5000 (500-10000). Utbredningsområdets storlek (EOO) och förekomstarean (AOO) överskrider gränsvärdena för rödlistning. Det föreligger indikation på eller misstanke om populationsminskning. Minskningen avser kvalitÃ©n på artens habitat. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC)."
Hydnellum caeruleum,blå taggsvamp,,NT,,,,"Bildar mykorrhiza med framförallt tall, men även med gran, huvudsakligen i äldre barrblandskog. Relativt vanlig och med bred ekologi. Kan överleva hyggesfasen på hänsynsytor med lämnade hänsynsträd. Inga eller få observationer i ungskogar uppkomna efter slutavverkning. Total population i landet bedöms ha minskat och fortgående minska p.g.a slutavverkning av äldre barrskog. Antalet reproduktiva individer överstiger gränsvärdet för rödlistning. Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (3000). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 3000 (500-6000). Utbredningsområdets storlek (EOO) och förekomstarean (AOO) överskrider gränsvärdena för rödlistning. En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c)."
Hydnellum peckii,skarp dropptaggsvamp,S,LC,,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
